epoch,accuracy,loss,val_accuracy,val_loss
10,0.9136858582496643,0.231272891163826,0.8951863646507263,0.41934147477149963
11,0.961508572101593,0.11443537473678589,0.9301242232322693,0.21896712481975555
12,0.9671462178230286,0.09301597625017166,0.9479813575744629,0.14680668711662292
13,0.9716174006462097,0.08051913231611252,0.9604037404060364,0.11987441033124924
14,0.9745334386825562,0.0684657171368599,0.95652174949646,0.12846481800079346
15,0.9795878529548645,0.061372414231300354,0.9495341777801514,0.15402579307556152
16,0.9826982617378235,0.05340276658535004,0.9518633484840393,0.14130182564258575
17,0.9852254986763,0.047322437167167664,0.9658384919166565,0.1122068539261818
18,0.9887247085571289,0.03713710606098175,0.9588509202003479,0.13212426006793976
19,0.9860031008720398,0.03806076571345329,0.9689440727233887,0.11392807960510254
