epoch,accuracy,loss,val_accuracy,val_loss
0,0.7051705121994019,2.988635778427124,0.9083333611488342,0.29108962416648865
1,0.9147414565086365,0.2841806411743164,0.949999988079071,0.15926916897296906
2,0.9317931532859802,0.20732063055038452,0.90625,0.2596428096294403
3,0.9488449096679688,0.16122102737426758,0.96875,0.11645431071519852
4,0.94664466381073,0.14374278485774994,0.9312499761581421,0.2057095617055893
5,0.9433443546295166,0.16152919828891754,0.8958333134651184,0.2921227216720581
6,0.9570956826210022,0.12705431878566742,0.9666666388511658,0.12614452838897705
7,0.9565456509590149,0.13369132578372955,0.956250011920929,0.13860784471035004
8,0.9598459601402283,0.11627385765314102,0.9395833611488342,0.2090798318386078
9,0.9614961743354797,0.12060454487800598,0.9583333134651184,0.1298382431268692
10,0.9636963605880737,0.10792339593172073,0.9624999761581421,0.12190229445695877
11,0.9653465151786804,0.10184541344642639,0.918749988079071,0.2651588022708893
12,0.9543454051017761,0.12870411574840546,0.9437500238418579,0.161410391330719
13,0.9647964835166931,0.10050760209560394,0.9583333134651184,0.1363513469696045
14,0.9653465151786804,0.0939217135310173,0.9708333611488342,0.10600530356168747
